created_at,text
Tue May 07 09:47:21 +0000 2019,lenin ensinava:    eficaz  alcancar  vitoria  tirar  inimigo  desejo  lutar    servico  
Tue May 07 09:43:30 +0000 2019,  ultimas palavras   belo insulto lancado  traidores morrerei feliz
Tue May 07 09:35:33 +0000 2019, generais  voltar  merecer  respeito popular      seguinte: arrepender- pedir desculpas  
Tue May 07 09:32:15 +0000 2019, santos cruz politicamente analfabeto      distincao  governo    governa   pr 
Tue May 07 09:21:37 +0000 2019, imaginei  veria tantos loucos gritando     convencer      falar   mim
Tue May 07 09:11:04 +0000 2019,tento  imaginar discutindo filosofia politica    generais   facil treinar aes marciais   bicho-preguica
Tue May 07 09:09:07 +0000 2019,  discutir   vil   ve   seguindo    arruinaldo    destruindo  si 
Tue May 07 09:01:59 +0000 2019, expliquei     bebes fardados      entender:  ciencia politica   supe 
Tue May 07 08:55:12 +0000 2019,  enxerga   isentismo    perversa hipnotica  imbecilizante  ideologias   cacife  co 
Tue May 07 08:50:26 +0000 2019,entendo  drama etico  aidemim:   franguinhos brasileiros  poderao  pobres chineses  jihadistas  
Tue May 07 08:48:20 +0000 2019,precisei chegar     aprender   aidemim  israel    horror extremista   china   j 
Tue May 07 08:39:09 +0000 2019,  preocupem incelencas:    esgoto  historia  garantido
Tue May 07 08:37:16 +0000 2019,  pessoal    perder      vida fisica    vale  
Tue May 07 08:36:30 +0000 2019,obrigadissimo  jornal nacional  atrair  leitores       rede globo   existir m 
Tue May 07 08:28:09 +0000 2019, quantidade  tipinhos ridiculos miseraveis  despreziveis   aparecido  brasil supera  imaginacao  to 
Tue May 07 08:26:16 +0000 2019,"  rodrigo coco:
--  falemos   olavo  carvalho: falemos  rodrigo coco"
Tue May 07 08:21:35 +0000 2019,   refutam  unica afirmacao  xingam rotulam rosnam depreciam ameacam choramingam      
Tue May 07 08:13:32 +0000 2019,lembram-  paulo robeo  almeida  globalismo  existe    foro   paulo   existia
Tue May 07 04:42:27 +0000 2019, mente  generais   posicoes politicas  admissiveis:  esquerdismo   isentismo anticomunismo  
Tue May 07 04:14:40 +0000 2019,"recomendo  turma  jornal nacional:

"
Tue May 07 03:40:47 +0000 2019, coisas   esperei    vendo  pior   altos oficiais militares acossados  afirmaco 
Tue May 07 03:35:05 +0000 2019,  jornal nacional  horario nobre informou  nacao     impoancia   alivio
Tue May 07 01:39:01 +0000 2019,  notaram    comunistada  midia     santosn cruz    putas viraram  rep 
Tue May 07 01:36:47 +0000 2019, problema inteiro   simples:  pauta  bolsonaro        elegeu  nacionalista conservado 
Tue May 07 01:21:25 +0000 2019, afirmacoes historicas graves   documentadas   respondem  picuinhas fofocas  lacrimejacoes  auto 
Tue May 07 01:00:49 +0000 2019,     sujeito   atacado    midia nacional    internacional  altos oficiais 
Tue May 07 00:56:02 +0000 2019,   bolsonaro   moe espero    moe  terceiros        ok
Tue May 07 00:36:24 +0000 2019,   patrick imbrizzi produz difamacao  pretexto  zelo catolico   imitador tardio  montfaible
Mon May 06 23:07:19 +0000 2019,   chama  desocupado    responder  desocupado   cu       cagar   inteiro
Mon May 06 21:45:45 +0000 2019, tenta  pintar  inimigo  forcas armadas      longo     desarmaram  debil 
Mon May 06 21:28:29 +0000 2019, - xvi ciclo  estudos estrategicos - painel  - santos cruz 
Mon May 06 21:22:40 +0000 2019,  grandiosa politica  aidemim  vender frangos   assassinos  cristaos
Mon May 06 21:21:20 +0000 2019, reagi     general santos cruz     sabia   era   tratava   gros 
Mon May 06 21:15:48 +0000 2019,      dirigir   tipinhos  tom respeitoso   tornado  escritor indigno   respeito
Mon May 06 21:13:48 +0000 2019,opiniaozinha  aidemim: genocidio   extremismo extremismo  falar   genocidas
Mon May 06 21:10:05 +0000 2019,  aidemim criticar  genocicio chines  jihadista  buscar aproximacao  israel  sintomas  extremismo ideologico
Mon May 06 18:50:33 +0000 2019,    midia esconde  fato    atitude ante  general santos cruz comecou   elogiei   respondeu  xingando
Mon May 06 14:32:50 +0000 2019, basta vencer  comunismo  preciso elimina-lo tira-lo  repeorio  
Mon May 06 14:31:34 +0000 2019,  abandonou  comunismo   virou  anticomunista  feroz  era comunista feroz   comprova 
Mon May 06 12:43:25 +0000 2019,  politico representa   eleitores   distrito    comunidade racial sexual profissional 
Mon May 06 12:37:00 +0000 2019,    veem    estereotipos  propaganda jamais  compreendem  engana-lo   lula 
Mon May 06 12:33:37 +0000 2019,  politica  soljenitsin  compreender quase instintivamente       bolsonaro    sobra
Mon May 06 12:28:35 +0000 2019, entrevista  sbt provou definitivamente:  bolsonaro   voz      tribuno  plebe
Mon May 06 12:18:49 +0000 2019, usei hashtags   acho  frescura
Mon May 06 12:17:55 +0000 2019,pare  mentir santos cruz  espalhei  mandei espalhar  hashtag  santos cruz 
Mon May 06 12:12:28 +0000 2019,   agente politico   escritor  professor   tirar  santos cruz  porra  ministerio   
Mon May 06 12:07:27 +0000 2019,gente   abre  boca  falar  calcular  efeitos politicos   produzir  gente  tribo santos cruz   
Mon May 06 11:58:36 +0000 2019, esqueca santos cruz:  comecou         razao plausivel respondeu 
Mon May 06 11:56:02 +0000 2019, santos cruz   capaz  imaginar     escritor  conhece politiqueiros  fofoqueiros  merda   
Mon May 06 11:47:23 +0000 2019,aviso  bostinhas  pagina guerra cultural:  oficial  entusiasmado   projeto  ministerio  defesa 
Mon May 06 11:36:43 +0000 2019, cidadao  acha  valioso       ministro  :    homem       
Mon May 06 11:30:21 +0000 2019,     domingos savio padroeiro   sofrem falsas acusacoes invoco   milhoes   dif 
Mon May 06 11:27:34 +0000 2019,santos cruz    homem   ler    escrevo    debater comigo       
Mon May 06 11:24:18 +0000 2019,alguem   milhoes  eleitores  bolsonaro votou    internet disciplinada  governo  par 
Mon May 06 06:52:46 +0000 2019, alguma interferencia   deus  poderiamos  sequer  ideia abstrata  eternidade
Mon May 06 05:48:46 +0000 2019,ps  hobbs:   quase totalidade     decepcionados    olavo    alunos  po 
Mon May 06 05:45:53 +0000 2019," guilherme hobbs:

 muita gente   decepcionadoa   professor olavo    enganaram   "
Mon May 06 03:58:20 +0000 2019,santos cruz   meca       cargo   farda     pelado  esmagado   
Mon May 06 03:41:56 +0000 2019, brasileiros votaram    governo pro-comunista aliado  foro   paulo perderam outris votaram par 
Mon May 06 03:06:23 +0000 2019," eduardo  alencar:

    caso  stf  movimentos  analistas     forcados  enx "
Mon May 06 03:01:41 +0000 2019, som  ruim  vale  pena ouvir    minuto      apostolos  mentira  odeiam: 
Mon May 06 02:34:43 +0000 2019, textos   guerra cultural macaqueiam  estilo  informes  inteligencia inventando historinhas  adorna 
Mon May 06 02:32:23 +0000 2019,    santos cruz  controle  internet   razao   leva  inventar grupos  aiculac 
Mon May 06 02:30:07 +0000 2019, santos cruz    seguranca publica   ordens  organizacoes notoriamente esquerdistas
Mon May 06 02:27:03 +0000 2019, santos cruz  exigindo  controle  internet  bebiano caiu   
Mon May 06 02:19:08 +0000 2019,fracotes enfezadinhos   santos cruz    personalidade     agir   protecao  gr 
Sun May 05 22:05:32 +0000 2019,fiz dezenas  conferencias  paicipei  dezenas  debates  instituicoes militares recebi condecoracoes   
Sun May 05 22:00:21 +0000 2019, historia   peenco  movement  bannon  invencao  mentirosos despreziveis      
Sun May 05 21:52:42 +0000 2019,guerra cultural   pagina criminosa mantida     psicopatas  ficam    tentando reescrev 
Sun May 05 21:48:23 +0000 2019, anti-olavismo junta milhares  criminosos  falar  juntos  mim bloqueando  possibilidade   
Sun May 05 21:34:48 +0000 2019, radicalmente    computador   aluno  escola primaria   daria  lousinha  giz   
Sun May 05 21:31:09 +0000 2019,   palpiteiros jornalisticos  academicos  buscam    idolos  amar  demonios  odiar 
Sun May 05 21:07:22 +0000 2019,  amigo   membros  governo recebem  pagamentos  -xecas
Sun May 05 20:39:02 +0000 2019,ler  velho senado  machado  assis  comparar  politica brasileira  epoca      cair  olimpo   esgoto
Sun May 05 20:13:20 +0000 2019,recebo    mensagens      picada  carrapato  visao piora    dificultando en 
Sun May 05 20:08:34 +0000 2019,  propaganda fascista mario sergio conti    genuina  teoria critica 
Sun May 05 20:06:24 +0000 2019,bolsonaro   heroi   mair sobreviver  facada   sido  doloroso   sobreviver  decepcao  
Sun May 05 19:36:27 +0000 2019, musiquinha     quintessencia  cultura universitaria   letra  concluo   autor   m 
Sun May 05 19:17:03 +0000 2019, bundinha  cetim enviou   ameaca  moe
Sun May 05 19:16:17 +0000 2019,controlar  internet santos cruz controlar   boca  merda
Sun May 05 18:53:16 +0000 2019, prefeito   york   fantoche  sandinistas  lixo    linha    vagabundo   cadeia
Sun May 05 18:18:44 +0000 2019, pergunta decisiva:        lados    obrigacao  ouvir   lados
Sun May 05 17:45:40 +0000 2019, professor   catedra fale  tom diferente    fala  casa   familia  amigos   charlatao
Sun May 05 17:43:28 +0000 2019, publico  brasil  deixa deslumbrar    falam pausadamente  mansinho      tecnic 
Sun May 05 17:25:23 +0000 2019, frankfuianos desprezavam  ideal positivo   acreditavam  forca supostamente redentora  critica 
Sun May 05 17:21:37 +0000 2019,stalin     crimes hediondos assumiu  minimo   responsabilidade  alimentar  proteger  terco d 
Sun May 05 17:16:38 +0000 2019, porco mario sergio conti reduz  truques  propaganda fascista  tentativa  mostrar  ambiente  putaria 
Sun May 05 10:39:29 +0000 2019, dezessete   admirava  horkheimers  marcuses  continua  admiracao-los  sessenta  setenta  
Sun May 05 10:36:32 +0000 2019, puxa-sacos  escola  frankfu   desgracado mario sergio conti alegam       
Sun May 05 08:48:48 +0000 2019, filho  puta    governo  desleal  presidente bolosonaro  desleal  nacao brasileira
Sun May 05 06:14:09 +0000 2019,  eleicao    avisei  bolsonaristas    midia brasileira era  forca organizada  
Sun May 05 06:01:25 +0000 2019,  culpa    general  xinga  acaba  elogia-lo     defende   agressao imotivada  histerica
Sun May 05 05:59:49 +0000 2019,  carla zambelli  divide      vice  contesta abeamente  presidente   escritor 
Sun May 05 05:32:42 +0000 2019,mario sergio conti   subjornalista  acusou  collor  crimes    ex-presidente viria   absol 
Sun May 05 05:23:47 +0000 2019,desafio   filhos  puta  mario sergio conti  provar   trecho  horkheimer  citei  atribui  
Sun May 05 05:14:23 +0000 2019, carla zambelli  estudou  ideologia   militares 
